A153#//#1234#//#Ali Maher#//#000456d4687#//#4000.000000
A152#//#3698#//#Mohammad Ahmad#//#001254789663#//#5000.000000
A154#//#8899#//#Kareem Sabry#//#4564651423133#//#4000.000000
A155#//#4789#//#Helal Negm#//#012324564645#//#12500.000000
A156#//#0012#//#Salem Kamal#//#01231321132131#//#43500.000000
A157#//#6363#//#Jasem be Salem#//#012154545456#//#3000.000000
A158#//#01452#//#pasel Ahmad#//#002323232232#//#36500.000000
A159#//#1595#//#Aseel Ali#//#01323254646565#//#12020.000000
A200#//#8888#//#stami Carbon#//#1114444777888#//#5000.000000
A201#//#0121#//#Gamil sayed#//#01212315454#//#23232.000000
A202#//#0444#//#Tael salim#//#012345465456#//#10000.000000
A203#//#4444#//#Sobhy Foad#//#6456465645645#//#20000.000000
A204#//#1212#//#koko 2#//#1454545454#//#6000.000000
A205#//#2323#//#new Client#//#788978979#//#1500.000000
A300#//#1144#//#Ahmad Gamal#//#22336655#//#3300.000000
A301#//#4455#//#Khaled Ali#//#001225456456#//#1500.000000
A302#//#7788#//#Wael Mohammad#//#054564564512#//#2948.000000
